constituency_id,riding_name,Riding Code,province,Region,Subregion,CPC Votes 2019,CPC % 2019,Total Votes 2019,CPC Votes 2021,cpc_pct_2021,Total Votes 2021,CPC Votes 2025,cpc_pct_2025,Total Votes 2025,cpc_change_21_25,cpc_change_19_25,demo_2255,demo_2256,demo_2257,demo_2258
181,Prince George-Peace River-Northern Rockies,59026,BC,BC,RBC,39653,67.92,58386,30822,59.29,51988,41956,71.12,58992,11.83,3.2,22.8,25.6,6.5,5.4
182,Cariboo-Prince George,59004,BC,BC,RBC,31920,53.96,59150,28366,51.33,55262,38175,60.32,63291,8.99,6.36,23.6,22.8,5.8,5.7
183,Kamloops-Shuswap-Central Rockies,59014,BC,BC,RBC,28094,46.32,60654,27094,45.03,60164,35556,52.25,68056,7.22,5.93,24.6,23.1,6.2,4.2
184,Kamloops-Thompson-Nicola,59015,BC,BC,RBC,26007,44.47,58488,24568,43.48,56504,32008,51.54,62102,8.06,7.07,26.1,22.2,5.2,3.3
185,Columbia-Kootenay-Southern Rockies,59007,BC,BC,RBC,29780,45.3,65737,27573,43.75,63030,36081,50.43,71542,6.68,5.13,25.3,22.9,5.7,4.5
186,Similkameen-South Okanagan-West Kootenay,59030,BC,BC,RBC,22863,37.25,61375,22706,37.7,60228,30054,44.06,68216,6.36,6.81,26.4,20.1,6.5,4.6
187,Vernon-Lake Country-Monashee,59041,BC,BC,RBC,26294,45.06,58356,24757,43.68,56681,33850,50.42,67141,6.74,5.36,25.6,21.8,4.7,4.3
188,Kelowna,59016,BC,BC,RBC,22322,43.01,51894,21345,42.01,50807,27620,46.94,58841,4.93,3.93,28.8,18.5,2.6,2.9
189,Okanagan Lake West-South Kelowna,59023,BC,BC,RBC,27606,48.58,56828,26820,48.46,55342,33219,50.92,65234,2.46,2.34,25.9,17.8,3.7,2.8
190,Chilliwack-Hope,59005,BC,BC,RBC,28057,49.19,57036,25434,45.91,55395,36027,54.79,65754,8.88,5.6,25.3,22.1,4.8,4.5
191,North Island-Powell River,59021,BC,BC,VI,23662,33.39,70874,24484,36.29,67473,31356,38.75,80929,2.46,5.36,25.0,20.0,6.1,2.9
192,Skeena-Bulkley Valley,59031,BC,BC,RBC,13756,33.24,41384,13513,36.14,37386,21202,47.19,44932,11.05,13.95,21.4,24.6,5.5,5.1
193,Mission-Matsqui-Abbotsford,59018,BC,BC,FVRD,26293,47.8,55012,24549,47.37,51823,33791,56.7,59599,9.33,8.9,22.9,23.5,5.6,5.5
194,Pitt Meadows-Maple Ridge,59024,BC,BC,FVRD,21168,36.71,57670,20856,37.19,56080,31924,47.41,67333,10.22,10.7,23.2,23.3,2.1,3.5
195,Coquitlam-Port Coquitlam,59008,BC,BC,FVRD,16818,33.51,50184,14436,30.07,48008,24730,42.99,57522,12.92,9.48,24.4,16.2,0.9,3.0
196,Port Moody-Coquitlam,59025,BC,BC,MV,17667,32.03,55152,17067,31.99,53349,25126,40.4,62196,8.41,8.37,23.6,14.7,0.8,2.4
197,West Vancouver-Sunshine Coast-Sea to Sky Country,59043,BC,BC,MV,14415,25.49,56562,16045,28.88,55549,21181,32.97,64247,4.09,7.48,26.5,16.5,2.9,1.8
198,North Vancouver-Capilano,59022,BC,BC,MV,16436,28.29,58088,16334,29.65,55091,21339,33.68,63364,4.03,5.39,23.6,10.9,1.0,1.4
