characteristics_id,category,subcategory,subsubcategory,pearson_r,pearson_p,spearman_rho,spearman_p,n,significant,full_name,short_name
1,"Population, 2021",,,,,,,342,False,"Population, 2021","Population, 2021"
10,Total - Age groups of the population - 100% data,0 to 14 years,0 to 4 years,0.1348,0.012568,0.1882,0.000466,342,True,Total - Age groups of the population - 100% data → 0 to 14 years → 0 to 4 years,0 to 4 years
100,Total - Household type - 100% data,,,,,,,342,False,Total - Household type - 100% data,Total - Household type - 100% data
101,Total - Household type - 100% data,One-census-family households without additional persons,,0.0589,0.277039,0.054,0.31904,342,False,Total - Household type - 100% data → One-census-family households without additional persons,One-census-family households without additional persons
102,Total - Household type - 100% data,One-census-family households without additional persons,Couple-family households,-0.0114,0.834225,-0.0218,0.68768,342,False,Total - Household type - 100% data → One-census-family households without additional persons → Couple-family households,Couple-family households
105,Total - Household type - 100% data,One-census-family households without additional persons,One-parent-family households,0.2711,0.0,0.3263,0.0,342,True,Total - Household type - 100% data → One-census-family households without additional persons → One-parent-family households,One-parent-family households
106,Total - Household type - 100% data,Multigenerational households,,0.446,0.0,0.4807,0.0,342,True,Total - Household type - 100% data → Multigenerational households,Multigenerational households
1060,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,Multiple responses,,0.3843,0.0,0.3573,0.0,342,True,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data → Multiple responses,Multiple responses
1061,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,Multiple responses,English and French,-0.0673,0.214524,-0.17,0.001607,342,False,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data → Multiple responses → English and French,English and French
1062,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,Multiple responses,English and non-official language(s),0.4329,0.0,0.3983,0.0,342,True,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data → Multiple responses → English and non-official language(s),English and non-official language(s)
1063,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,Multiple responses,French and non-official language(s),-0.0388,0.474853,-0.2113,8.2e-05,342,False,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data → Multiple responses → French and non-official language(s),French and non-official language(s)
1064,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,Multiple responses,"English, French and non-official language(s)",0.0211,0.69718,0.0299,0.581498,342,False,"Total - Language spoken most often at home for the total population excluding institutional residents - 100% data → Multiple responses → English, French and non-official language(s)","English, French and non-official language(s)"
1065,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,Multiple responses,Multiple non-official languages,0.4014,0.0,0.3337,0.0,342,True,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data → Multiple responses → Multiple non-official languages,Multiple non-official languages
1066,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,,,,,,,342,False,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data
1067,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,None,,-0.3933,0.0,-0.3729,0.0,342,True,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data → None,None
1068,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,English,,0.4068,0.0,0.3406,0.0,342,True,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data → English,English
1069,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,French,,-0.0448,0.409286,-0.1461,0.006787,342,False,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data → French,French
107,Total - Household type - 100% data,Multiple-census-family households,,0.4604,0.0,0.4267,0.0,342,True,Total - Household type - 100% data → Multiple-census-family households,Multiple-census-family households
1070,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,Non-official language,,0.4162,0.0,0.3923,0.0,342,True,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data → Non-official language,Non-official language
1071,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,Non-official language,Indigenous,-0.024,0.658841,-0.0103,0.849401,342,False,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data → Non-official language → Indigenous,Indigenous
1072,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,Non-official language,Non-Indigenous,0.4162,0.0,0.3899,0.0,342,True,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data → Non-official language → Non-Indigenous,Non-Indigenous
1073,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,English and French,,0.0253,0.640828,0.0433,0.424584,342,False,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data → English and French,English and French
1074,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,English and non-official language(s),,0.4147,0.0,0.3257,0.0,342,True,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data → English and non-official language(s),English and non-official language(s)
1075,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,French and non-official language(s),,0.0356,0.511387,0.1266,0.019189,342,False,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data → French and non-official language(s),French and non-official language(s)
1076,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,"English, French and non-official language(s)",,0.0022,0.968179,-0.0728,0.179454,342,False,"Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data → English, French and non-official language(s)","English, French and non-official language(s)"
1077,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,Multiple non-official languages,,0.385,0.0,0.3554,0.0,342,True,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data → Multiple non-official languages,Multiple non-official languages
1078,Total - Knowledge of languages for the population in private households - 25% sample data,,,,,,,342,False,Total - Knowledge of languages for the population in private households - 25% sample data,Total - Knowledge of languages for the population in private households - 25% sample data
1079,Total - Knowledge of languages for the population in private households - 25% sample data,Official languages,,-0.4118,0.0,-0.3509,0.0,342,True,Total - Knowledge of languages for the population in private households - 25% sample data → Official languages,Official languages
108,Total - Household type - 100% data,One-census-family households with additional persons,,0.4924,0.0,0.477,0.0,342,True,Total - Household type - 100% data → One-census-family households with additional persons,One-census-family households with additional persons
1080,Total - Knowledge of languages for the population in private households - 25% sample data,Official languages,English,0.271,0.0,-0.0033,0.952022,342,True,Total - Knowledge of languages for the population in private households - 25% sample data → Official languages → English,English
1081,Total - Knowledge of languages for the population in private households - 25% sample data,Official languages,French,-0.2861,0.0,-0.3906,0.0,342,True,Total - Knowledge of languages for the population in private households - 25% sample data → Official languages → French,French
1082,Total - Knowledge of languages for the population in private households - 25% sample data,Non-official languages,,0.4066,0.0,0.3688,0.0,342,True,Total - Knowledge of languages for the population in private households - 25% sample data → Non-official languages,Non-official languages
1083,Total - Knowledge of languages for the population in private households - 25% sample data,Non-official languages,Indigenous languages,-0.027,0.6184,-0.1149,0.033611,342,False,Total - Knowledge of languages for the population in private households - 25% sample data → Non-official languages → Indigenous languages,Indigenous languages
109,Total - Household type - 100% data,Two-or-more-person non-census-family households,,0.059,0.276848,0.0895,0.09833,342,False,Total - Household type - 100% data → Two-or-more-person non-census-family households,Two-or-more-person non-census-family households
11,Total - Age groups of the population - 100% data,0 to 14 years,5 to 9 years,0.1197,0.026841,0.168,0.001825,342,True,Total - Age groups of the population - 100% data → 0 to 14 years → 5 to 9 years,5 to 9 years
110,Total - Household type - 100% data,One-person households,,-0.338,0.0,-0.3424,0.0,342,True,Total - Household type - 100% data → One-person households,One-person households
111,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,,,,,,,342,False,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data
112,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,Number of total income recipients aged 15 years and over in private households in 2020 - 100% data,,-0.3475,0.0,-0.3816,0.0,342,True,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data → Number of total income recipients aged 15 years and over in private households in 2020 - 100% data,Number of total income recipients aged 15 years and over in private households in 2020 - 100% data
113,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,Number of total income recipients aged 15 years and over in private households in 2020 - 100% data,Median total income in 2020 among recipients ($),-0.2283,2e-05,-0.2377,9e-06,342,True,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data → Number of total income recipients aged 15 years and over in private households in 2020 - 100% data → Median total income in 2020 among recipients ($),Median total income in 2020 among recipients ($)
114,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data,,-0.3451,0.0,-0.3794,0.0,342,True,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data → Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data,Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data
115,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data,Median after-tax income in 2020 among recipients ($),-0.1856,0.00056,-0.1972,0.000243,342,True,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data → Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data → Median after-tax income in 2020 among recipients ($),Median after-tax income in 2020 among recipients ($)
116,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,Number of market income recipients aged 15 years and over in private households in 2020 - 100% data,,-0.3122,0.0,-0.4175,0.0,342,True,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data → Number of market income recipients aged 15 years and over in private households in 2020 - 100% data,Number of market income recipients aged 15 years and over in private households in 2020 - 100% data
117,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,Number of market income recipients aged 15 years and over in private households in 2020 - 100% data,Median market income in 2020 among recipients ($),-0.1602,0.002972,-0.1698,0.001625,342,True,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data → Number of market income recipients aged 15 years and over in private households in 2020 - 100% data → Median market income in 2020 among recipients ($),Median market income in 2020 among recipients ($)
1174,Total - Knowledge of languages for the population in private households - 25% sample data,Non-official languages,Non-Indigenous languages,0.4074,0.0,0.3675,0.0,342,True,Total - Knowledge of languages for the population in private households - 25% sample data → Non-official languages → Non-Indigenous languages,Non-Indigenous languages
118,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data,,0.058,0.28446,0.0332,0.541072,342,False,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data → Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data,Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data
119,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data,Median employment income in 2020 among recipients ($),-0.1025,0.058168,-0.0897,0.097817,342,False,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data → Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data → Median employment income in 2020 among recipients ($),Median employment income in 2020 among recipients ($)
12,Total - Age groups of the population - 100% data,0 to 14 years,10 to 14 years,0.1181,0.028967,0.1862,0.000539,342,True,Total - Age groups of the population - 100% data → 0 to 14 years → 10 to 14 years,10 to 14 years
120,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data,,0.237,9e-06,0.2328,1.4e-05,342,True,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data → Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data,Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data
121,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data,Median government transfers in 2020 among recipients ($),-0.1258,0.019924,-0.1351,0.012392,342,True,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data → Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data → Median government transfers in 2020 among recipients ($),Median government transfers in 2020 among recipients ($)
122,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data,,0.0056,0.917722,0.0584,0.28181,342,False,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data → Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data,Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data
123,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data,Median employment insurance benefits in 2020 among recipients ($),0.002,0.970036,0.0124,0.818634,342,False,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data → Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data → Median employment insurance benefits in 2020 among recipients ($),Median employment insurance benefits in 2020 among recipients ($)
124,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data,,0.384,0.0,0.387,0.0,342,True,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data → Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data,Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data
125,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data,Median COVID-19 emergency and recovery benefits in 2020 among recipients ($),0.3164,0.0,0.3309,0.0,342,True,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data → Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data → Median COVID-19 emergency and recovery benefits in 2020 among recipients ($),Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)
126,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,,,,,,,342,False,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data
127,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data,,-0.348,0.0,-0.3795,0.0,342,True,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data → Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data,Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data
128,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data,Average total income in 2020 among recipients ($),-0.1838,0.000637,-0.1891,0.000439,342,True,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data → Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data → Average total income in 2020 among recipients ($),Average total income in 2020 among recipients ($)
129,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data,,-0.3444,0.0,-0.3731,0.0,342,True,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data → Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data,Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data
13,Total - Age groups of the population - 100% data,15 to 64 years,,0.2596,1e-06,0.2987,0.0,342,True,Total - Age groups of the population - 100% data → 15 to 64 years,15 to 64 years
130,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data,Average after-tax income in 2020 among recipients ($),-0.1588,0.003243,-0.1495,0.005604,342,True,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data → Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data → Average after-tax income in 2020 among recipients ($),Average after-tax income in 2020 among recipients ($)
131,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data,,-0.3119,0.0,-0.4133,0.0,342,True,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data → Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data,Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data
132,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data,Average market income in 2020 among recipients ($),-0.1494,0.005647,-0.1439,0.007694,342,True,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data → Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data → Average market income in 2020 among recipients ($),Average market income in 2020 among recipients ($)
133,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data,,0.0576,0.288031,0.0337,0.534125,342,False,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data → Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data,Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data
134,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data,Average employment income in 2020 among recipients ($),-0.1258,0.019994,-0.11,0.042141,342,True,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data → Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data → Average employment income in 2020 among recipients ($),Average employment income in 2020 among recipients ($)
135,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data,,0.2374,9e-06,0.2307,1.6e-05,342,True,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data → Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data,Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data
136,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data,Average government transfers in 2020 among recipients ($),-0.07,0.19626,-0.0723,0.18238,342,False,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data → Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data → Average government transfers in 2020 among recipients ($),Average government transfers in 2020 among recipients ($)
137,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,0.0071,0.895818,0.0556,0.30491,342,False,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data → Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data
138,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,Average employment insurance benefits in 2020 among recipients ($),-0.1163,0.031524,-0.2154,5.9e-05,342,True,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data → Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data → Average employment insurance benefits in 2020 among recipients ($),Average employment insurance benefits in 2020 among recipients ($)
139,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,0.3833,0.0,0.3896,0.0,342,True,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data → Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data
