constituency_id,geoName,sgcCode,census_id,geographics_id,row_type,characteristics_id,category_label,total,men,women,rateTotal,rateMen,rateWomen
181,Prince George--Peace River--Northern Rockies,59026,1,59026,category,2255,6 Sales and service occupations,14310.0,5555.0,8755.0,22.8,16.3,30.7
181,Prince George--Peace River--Northern Rockies,59026,1,59026,category,2256,"7 Trades, transport and equipment operators and related occupations",16055.0,14595.0,1460.0,25.6,42.7,5.1
181,Prince George--Peace River--Northern Rockies,59026,1,59026,category,2257,"8 Natural resources, agriculture and related production occupations",4070.0,3255.0,815.0,6.5,9.5,2.9
181,Prince George--Peace River--Northern Rockies,59026,1,59026,SUM,SUM,SUM of 3 categories,34435.0,23405.0,11030.0,54.9,68.5,38.7
182,Cariboo--Prince George,59004,1,59004,category,2255,6 Sales and service occupations,13705.0,5350.0,8355.0,23.6,17.4,30.6
182,Cariboo--Prince George,59004,1,59004,category,2256,"7 Trades, transport and equipment operators and related occupations",13255.0,12095.0,1155.0,22.8,39.3,4.2
182,Cariboo--Prince George,59004,1,59004,category,2257,"8 Natural resources, agriculture and related production occupations",3385.0,2490.0,895.0,5.8,8.1,3.3
182,Cariboo--Prince George,59004,1,59004,SUM,SUM,SUM of 3 categories,30345.0,19935.0,10405.0,52.2,64.8,38.1
183,Kamloops--Shuswap--Central Rockies,59014,1,59014,category,2255,6 Sales and service occupations,13495.0,5355.0,8145.0,24.6,18.6,31.1
183,Kamloops--Shuswap--Central Rockies,59014,1,59014,category,2256,"7 Trades, transport and equipment operators and related occupations",12705.0,11620.0,1085.0,23.1,40.4,4.1
183,Kamloops--Shuswap--Central Rockies,59014,1,59014,category,2257,"8 Natural resources, agriculture and related production occupations",3415.0,2400.0,1010.0,6.2,8.3,3.9
183,Kamloops--Shuswap--Central Rockies,59014,1,59014,SUM,SUM,SUM of 3 categories,29615.0,19375.0,10240.0,53.9,67.3,39.1
